feature0, feature1, feature2, feature3, feature4, feature5, feature6, feature7, feature8, feature9, feature10, feature11, feature12, feature13, feature14, feature15, feature16, feature17, feature18, feature19, G_ads (eV), slab db row, COOH_C_adsorbed_out.db row
0,0,1,0,0,3,1,0,2,0,1,0,0,1,1,1,2,0,0,0,1.613186,18,162
1,0,0,0,0,1,0,2,0,3,0,2,0,0,1,1,1,0,0,1,2.029106,19,163
0,0,1,0,0,1,1,1,0,3,0,0,0,1,2,3,0,0,0,0,1.910577,19,164
0,0,1,0,0,2,1,1,0,2,0,2,0,0,1,1,0,1,0,1,1.779837,19,165
0,0,0,0,1,2,1,1,0,2,0,1,0,2,0,2,0,0,1,0,0.832146,19,166
0,1,0,0,0,1,0,2,0,3,1,1,0,1,0,3,0,0,0,0,1.792130,19,167
0,0,0,0,1,1,1,1,0,3,1,2,0,0,0,1,0,0,1,1,0.928178,19,168
1,0,0,0,0,1,1,1,0,3,1,1,0,1,0,1,1,1,0,0,2.237622,19,169
0,0,0,0,1,2,1,1,0,2,2,0,0,0,1,2,1,0,0,0,0.880405,19,170
0,0,0,0,1,1,0,2,0,3,1,0,0,1,1,1,0,1,1,0,0.825720,19,171
0,0,1,0,0,1,0,1,2,2,1,0,1,0,1,0,0,1,1,1,1.896994,20,172
0,0,0,1,0,1,0,2,1,2,2,0,1,0,0,0,0,1,1,1,1.380587,20,173
0,0,0,0,1,0,0,1,3,2,2,0,1,0,0,0,0,2,0,1,0.870062,20,174
1,0,0,0,0,0,0,1,3,2,1,0,1,0,1,0,1,0,1,1,2.239957,20,175
0,0,0,0,1,1,0,1,2,2,1,0,1,0,1,0,0,2,0,1,0.828798,20,176
0,0,0,1,0,1,0,2,1,2,0,1,1,0,1,0,1,1,0,1,1.303018,20,177
0,0,0,0,1,1,0,2,1,2,1,0,1,0,1,0,0,2,0,1,0.887284,20,178
0,0,0,1,0,1,0,2,1,2,2,0,1,0,0,0,0,1,1,1,1.384367,20,179
0,0,0,1,0,1,0,1,2,2,1,1,1,0,0,0,1,1,0,1,1.345071,20,180
0,0,1,0,0,1,2,2,1,0,0,1,0,0,2,1,0,1,0,1,1.443454,21,181
0,0,1,0,0,1,2,3,0,0,0,1,0,1,1,1,0,0,0,2,1.605395,21,182
0,1,0,0,0,0,2,3,1,0,1,0,0,1,1,1,0,1,0,1,1.642296,21,183
1,0,0,0,0,0,2,3,1,0,0,0,1,0,2,1,0,0,1,1,1.869806,21,184
0,0,1,0,0,1,2,2,1,0,1,0,0,0,2,1,0,0,0,2,1.576006,21,185
0,0,0,1,0,1,2,3,0,0,1,0,0,0,2,1,0,0,1,1,1.205613,21,186
0,1,0,0,0,1,2,3,0,0,0,0,1,0,2,1,0,2,0,0,1.518198,21,187
0,0,1,0,0,0,2,3,1,0,0,1,0,0,2,1,0,1,0,1,1.793899,21,188
0,1,0,0,0,1,2,2,1,0,0,0,1,1,1,1,0,1,1,0,1.670404,21,189
1,0,0,0,0,1,1,1,2,1,0,1,1,1,0,0,2,0,0,1,2.112277,22,190
0,0,0,1,0,1,1,1,0,3,0,1,0,2,0,1,0,0,1,1,1.227067,22,191
0,0,1,0,0,2,0,0,2,2,0,0,0,3,0,2,1,0,0,0,1.823719,22,192
0,0,0,0,1,2,0,0,2,2,0,0,2,1,0,0,1,0,1,1,0.948384,22,193
0,0,0,0,1,1,1,1,2,1,1,0,0,2,0,1,1,0,0,1,0.787633,22,194
1,0,0,0,0,1,1,1,0,3,1,0,1,1,0,0,1,0,1,1,2.194009,22,195
0,0,0,1,0,1,1,1,0,3,1,0,1,1,0,1,2,0,0,0,1.320820,22,196
0,1,0,0,0,2,0,0,2,2,2,1,0,0,0,0,1,0,1,1,1.843949,22,197
0,0,0,0,1,1,1,1,2,1,1,0,1,1,0,1,0,0,2,0,0.828921,22,198
0,0,1,0,0,2,4,0,0,0,2,0,1,0,0,0,2,0,1,0,1.818452,23,199
0,1,0,0,0,3,2,1,0,0,0,0,2,0,1,0,1,0,1,1,1.579471,23,200
0,1,0,0,0,1,4,1,0,0,1,0,1,0,1,0,1,1,0,1,1.597402,23,201
1,0,0,0,0,1,4,1,0,0,1,0,1,0,1,1,1,0,0,1,1.894562,23,202
1,0,0,0,0,2,4,0,0,0,0,0,2,0,1,1,0,0,1,1,1.991628,23,203
0,1,0,0,0,3,2,1,0,0,1,0,1,1,0,0,1,0,1,1,1.621116,23,204
0,1,0,0,0,3,2,1,0,0,1,0,0,0,2,1,0,1,1,0,1.555450,23,205
