feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,0,0,0,1,0,2,0,2,2,0,1,0,1,1,0,0,0,0,3,0.900661,344,194
0,0,1,0,0,2,2,2,0,0,0,0,0,1,2,0,0,0,0,3,0.954013,345,196
0,0,0,0,1,0,2,0,2,2,1,0,1,1,0,0,0,3,0,0,1.088046,346,182
1,0,0,0,0,4,0,2,0,0,0,2,0,1,0,0,0,0,3,0,1.237483,347,170
0,1,0,0,0,2,0,4,0,0,0,1,0,0,2,0,3,0,0,0,1.305110,348,187
0,0,0,0,1,2,0,0,0,4,1,2,0,0,0,0,3,0,0,0,0.952696,349,171
0,1,0,0,0,0,0,2,2,2,0,2,0,0,1,0,3,0,0,0,1.628982,350,186
0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,3,0,0,0,0,1.721002,351,193
0,1,0,0,0,2,0,0,2,2,0,1,0,1,1,0,0,3,0,0,1.459248,352,206
0,0,0,0,1,2,0,4,0,0,0,1,1,0,1,0,0,0,0,3,0.693144,353,191
0,0,0,0,1,0,2,2,2,0,0,3,0,0,0,0,3,0,0,0,0.901418,357,7
0,0,0,1,0,0,4,0,0,2,2,0,0,1,0,0,0,3,0,0,1.326496,358,8
0,1,0,0,0,2,0,0,0,4,1,0,1,1,0,0,0,3,0,0,1.713754,360,178
1,0,0,0,0,0,2,0,4,0,1,0,0,1,1,0,0,3,0,0,1.566243,362,199
0,1,0,0,0,0,0,2,0,4,1,1,0,0,1,3,0,0,0,0,1.738917,363,208
0,0,1,0,0,0,0,4,0,2,0,1,0,2,0,3,0,0,0,0,1.052371,364,179
1,0,0,0,0,4,0,0,0,2,0,0,0,1,2,3,0,0,0,0,1.369667,365,190
0,1,0,0,0,2,0,2,0,2,0,0,0,1,2,3,0,0,0,0,1.448543,366,180
1,0,0,0,0,2,2,0,0,2,0,1,0,0,2,0,0,0,3,0,1.517835,367,202
0,0,1,0,0,0,2,2,0,2,0,1,0,1,1,0,0,3,0,0,1.109760,369,183
0,0,0,0,1,0,0,2,4,0,1,1,0,1,0,3,0,0,0,0,0.827810,370,200
0,0,0,0,1,2,0,2,2,0,1,0,2,0,0,3,0,0,0,0,0.917939,371,356
0,0,0,1,0,4,2,0,0,0,0,2,0,1,0,0,3,0,0,0,0.982235,372,242
0,0,0,0,1,0,4,0,2,0,1,0,1,1,0,0,0,0,3,0,0.948167,373,214
0,0,1,0,0,0,0,0,4,2,0,1,0,1,1,0,0,0,0,3,1.210570,374,224
1,0,0,0,0,0,4,0,0,2,1,1,0,0,1,3,0,0,0,0,1.706158,375,233
0,1,0,0,0,0,2,2,0,2,0,0,0,0,3,0,0,0,0,3,1.470579,377,253
0,1,0,0,0,2,2,2,0,0,0,0,0,1,2,3,0,0,0,0,1.297365,378,308
0,0,1,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0,3,0,0.946339,379,360
0,0,0,1,0,0,0,2,2,2,1,0,1,0,1,0,0,3,0,0,1.162561,381,4
0,1,0,0,0,2,0,0,0,4,0,2,0,1,0,0,3,0,0,0,1.672128,382,218
0,0,1,0,0,0,4,2,0,0,0,2,1,0,0,3,0,0,0,0,1.041029,383,210
0,0,0,0,1,0,2,2,2,0,0,0,2,1,0,3,0,0,0,0,0.913233,385,371
0,1,0,0,0,2,2,2,0,0,1,0,0,1,1,3,0,0,0,0,1.317533,386,238
1,0,0,0,0,4,0,0,2,0,1,0,0,2,0,0,3,0,0,0,1.323311,387,243
0,0,0,0,1,0,0,0,4,2,0,0,1,2,0,0,0,0,0,3,0.916938,388,215
0,0,0,0,1,0,2,2,0,2,1,0,0,0,2,0,0,3,0,0,0.879335,390,239
0,0,0,1,0,4,0,2,0,0,0,0,1,2,0,0,0,3,0,0,0.973150,391,211
0,1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,3,0,0,1.441154,394,255
0,1,0,0,0,0,2,0,2,2,1,1,0,0,1,0,0,0,0,3,1.668893,395,231
0,0,0,0,1,0,2,2,2,0,0,2,0,0,1,0,0,3,0,0,0.771383,396,256
